state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked
Oklahoma,2357,28542,null,325,528,155,null,null,null,1331,"""4/16 08:00""","""4/16 23:48""",131,528,30899,30899,30899,"""40""","""2020-04-16T12:00:00Z""","""2020-04-17T03:48:00Z"""
Oregon,1736,33202,null,307,414,89,null,43,null,null,"""4/16 11:00""","""4/16 22:20""",64,414,34938,34938,34938,"""41""","""2020-04-16T15:00:00Z""","""2020-04-17T02:20:00Z"""
Pennsylvania,27735,113735,null,2512,null,null,null,675,null,null,"""4/16 12:00""","""4/16 22:24""",707,null,141470,141470,141470,"""42""","""2020-04-16T16:00:00Z""","""2020-04-17T02:24:00Z"""
Rhode Island,3838,24226,null,245,331,61,null,43,null,182,"""4/16 12:00""","""4/16 22:28""",105,331,28064,28064,28064,"""44""","""2020-04-16T16:00:00Z""","""2020-04-17T02:28:00Z"""
South Carolina,3931,32353,null,null,675,null,null,null,null,null,"""4/16 17:06""","""4/16 23:18""",109,675,36284,36284,36284,"""45""","""2020-04-16T21:06:00Z""","""2020-04-17T03:18:00Z"""
South Dakota,1311,9239,2,null,55,null,null,null,null,373,"""4/15 18:00""","""4/16 23:46""",7,55,10552,10550,10550,"""46""","""2020-04-15T22:00:00Z""","""2020-04-17T03:46:00Z"""
Tennessee,6262,78787,null,null,691,null,null,null,null,2786,"""4/16 15:00""","""4/16 15:52""",141,691,85049,85049,85049,"""47""","""2020-04-16T19:00:00Z""","""2020-04-16T19:52:00Z"""
Texas,16455,142092,null,1459,null,null,null,null,null,3677,"""4/16 13:00""","""4/16 15:20""",393,null,158547,158547,158547,"""48""","""2020-04-16T17:00:00Z""","""2020-04-16T19:20:00Z"""
Utah,2683,46995,null,null,238,null,null,null,null,357,"""4/16 15:00""","""4/16 15:53""",21,238,49678,49678,49678,"""49""","""2020-04-16T19:00:00Z""","""2020-04-16T19:53:00Z"""
Virginia,6889,39555,537,1337,1114,427,null,238,null,951,"""4/16 00:00""","""4/16 16:05""",208,1114,46981,46444,46444,"""51""","""2020-04-16T04:00:00Z""","""2020-04-16T20:05:00Z"""
Vermont,768,10739,null,58,null,null,null,null,null,15,"""4/16 09:20""","""4/16 14:46""",35,null,11507,11507,11507,"""50""","""2020-04-16T13:20:00Z""","""2020-04-16T18:46:00Z"""
Washington,11152,117748,null,622,null,195,null,null,null,null,"""4/16 02:59""","""4/16 23:55""",583,null,128900,128900,128900,"""53""","""2020-04-16T06:59:00Z""","""2020-04-17T03:55:00Z"""
Wisconsin,3875,40974,218,394,1121,147,299,null,null,null,"""4/16 00:00""","""4/16 15:59""",197,1121,45067,44849,44849,"""55""","""2020-04-16T04:00:00Z""","""2020-04-16T19:59:00Z"""
West Virginia,739,17567,null,85,null,34,null,24,null,223,"""4/16 16:30""","""4/16 22:11""",13,null,18306,18306,18306,"""54""","""2020-04-16T20:30:00Z""","""2020-04-17T02:11:00Z"""
Wyoming,296,6131,null,19,43,null,null,null,null,148,"""4/16 10:14""","""4/17 17:34""",2,43,6427,6427,6427,"""56""","""2020-04-16T14:14:00Z""","""2020-04-17T21:34:00Z"""
Puerto Rico,1043,7315,1465,null,null,null,null,null,null,null,"""4/16 07:00""","""4/16 22:26""",56,null,9823,8358,8358,"""72""","""2020-04-16T11:00:00Z""","""2020-04-17T02:26:00Z"""
AS,0,3,17,null,null,null,null,null,null,null,"""4/06 00:00""","""4/16 14:26""",null,null,20,3,3,"""60""","""2020-04-06T04:00:00Z""","""2020-04-16T18:26:00Z"""
Guam,135,870,null,9,null,null,null,null,null,86,"""4/16 07:45""","""4/16 15:29""",5,null,1005,1005,1005,"""66""","""2020-04-16T11:45:00Z""","""2020-04-16T19:29:00Z"""
Northern Mariana Islands,13,42,4,null,null,null,null,null,null,null,"""4/15 00:00""","""4/16 23:25""",2,null,59,55,55,"""69""","""2020-04-15T04:00:00Z""","""2020-04-17T03:25:00Z"""
US Virgin Islands,51,357,35,null,null,null,null,null,null,46,"""4/16 08:30""","""4/16 15:53""",1,null,443,408,408,"""78""","""2020-04-16T12:30:00Z""","""2020-04-16T19:53:00Z"""
